"","municipality","code","DP","state","year","eb_ntp","eb_nmr","eb_ndvr","eb_npir","eb_nubr","nimr","Litr","nmpr","nmrpr"
"49","Baraya",41078,41,"Huila",2003,9991.52173923048,9981.5992388456,NA,NA,95.5843197940568,NA,NA,NA,NA
"50","Santa María",15690,15,"Boyacá",2003,9999.0950478362,9994.93179416867,NA,NA,93.708842197786,NA,NA,NA,NA
"51","Morelia",18479,18,"Caquetá",2003,9998.82498867661,9990.93007335771,NA,NA,95.1345598297096,NA,NA,NA,NA
"52","El Paujíl",18256,18,"Caquetá",2003,9999.11276395656,9989.22937040183,NA,NA,95.1345598297096,NA,NA,NA,NA
"53","Boavita",15097,15,"Boyacá",2003,9999.41074947751,9999.43345950725,NA,NA,92.5950969495596,NA,NA,NA,NA
"54","Boyacá",15104,15,"Boyacá",2003,9999.13801074576,9999.12341527956,NA,NA,91.8498098642801,NA,NA,NA,NA
"55","Sora",15762,15,"Boyacá",2003,9997.4058434818,9995.11435992158,NA,NA,92.0216979853657,NA,NA,NA,NA
"56","Sutamarchán",15776,15,"Boyacá",2003,9999.2219952419,9999.22263291441,NA,NA,92.2431323634697,NA,NA,NA,NA
"57","Santa Bárbara de Pinto",47720,47,"Magdalena",2003,9999.48565333897,9998.56790508204,NA,NA,94.255257551107,NA,NA,NA,NA
"58","San Jacinto del Cauca",13655,13,"Bolívar",2003,9999.03164010715,9999.10993656871,NA,NA,92.137278416836,NA,NA,NA,NA
"59","Gámeza",15296,15,"Boyacá",2003,9998.16900328683,9996.79306666426,NA,NA,92.0089747963755,NA,NA,NA,NA
"60","Sipí",27745,27,"Chocó",2003,9998.63651125133,9998.76427151286,NA,NA,90.0573498341357,NA,NA,NA,NA
"61","Villamaría",17873,17,"Caldas",2003,9998.27868376997,9995.34757039587,NA,NA,93.5270093909762,NA,NA,NA,NA
"62","San José la Montaña",5658,5,"Antioquia",2003,9980.68211816562,9991.06490000157,NA,NA,91.9054698813602,NA,NA,NA,NA
"63","Solano",18756,18,"Caquetá",2003,9999.1657506046,9997.38758159952,NA,NA,95.1345598297096,NA,NA,NA,NA
"64","San Andrés de Cuerquía",5647,5,"Antioquia",2003,9997.36622860787,9977.72648214136,NA,NA,92.3011296178003,NA,NA,NA,NA
"65","Manaure Balcón del Cesar",20443,20,"Cesar",2003,9999.32550474465,9997.0075171034,NA,NA,94.4128130032204,NA,NA,NA,NA
"66","Belalcázar",17088,17,"Caldas",2003,9999.39180824662,9984.28183586144,NA,NA,93.4225505400578,NA,NA,NA,NA
"67","Córdoba",52215,52,"Nariño",2003,9999.70072965008,9996.38836494563,NA,NA,94.0023288534704,NA,NA,NA,NA
"68","Albania",18029,18,"Caquetá",2003,9998.14805850792,9989.01060329325,NA,NA,95.1345598297096,NA,NA,NA,NA
"69","Sampués",70670,70,"Sucre",2003,9999.28934872724,9998.21833355638,NA,NA,91.1341643010359,NA,NA,NA,NA
"70","El Retén",47268,47,"Magdalena",2003,9999.62410865907,9998.60261997452,NA,NA,94.3583102785725,NA,NA,NA,NA
"71","San José de Uré",23682,23,"Córdoba",2003,9999.07361160182,9997.49021478296,NA,NA,93.3318214006564,NA,NA,NA,NA
"72","López de Micay",19418,19,"Cauca",2003,9999.80951546473,9998.93125353308,NA,NA,93.2667275924126,NA,NA,NA,NA
"73","Tibú",54810,54,"Norte de Santander",2003,9998.53395375968,9952.28017215764,NA,NA,94.3527137052499,NA,NA,NA,NA
"74","Páez",15514,15,"Boyacá",2003,9998.94341600797,9998.87939531975,NA,NA,92.7194389079014,NA,NA,NA,NA
"75","Magangué",13430,13,"Bolívar",2003,9998.59887485249,9997.8110228067,NA,NA,90.9557048122218,NA,NA,NA,NA
"76","Curití",68229,68,"Santander",2003,9994.98968460411,9997.06682463959,NA,NA,93.178540149151,NA,NA,NA,NA
"77","Santa Rosalía",99624,99,"Vichada",2003,9999.34782727054,9999.66574512299,NA,NA,92.5207756232687,NA,NA,NA,NA
"78","Taraira",97666,97,"Vaupés",2003,9999.47685064086,9999.47685064086,NA,NA,94.7470817120623,NA,NA,NA,NA
"79","Fundación",47288,47,"Magdalena",2003,9998.78881928574,9986.05607293565,NA,NA,95.856868169911,NA,NA,NA,NA
"80","Chitagá",54174,54,"Norte de Santander",2003,9998.87551078671,9997.3645434668,NA,NA,94.5910813058026,NA,NA,NA,NA
"81","Barbosa",5079,5,"Antioquia",2003,9994.6021636278,9992.87435083318,NA,NA,91.2911956862721,NA,NA,NA,NA
"82","Barbosa",68077,68,"Santander",2003,9982.70379664389,9997.10980784251,NA,NA,92.9879479237254,NA,NA,NA,NA
"83","Barichara",68079,68,"Santander",2003,9995.32091199935,9997.06201161239,NA,NA,94.2886793476858,NA,NA,NA,NA
"84","Ibagué",73001,73,"Tolima",2003,9968.87317175652,9997.59145898093,NA,NA,93.9190342966489,NA,NA,NA,NA
"85","Barrancabermeja",68081,68,"Santander",2003,9990.3961424085,9994.00164364068,NA,NA,94.9700961222731,NA,NA,NA,NA
"86","Barrancas",44078,44,"La Guajira",2003,9999.51582201667,9989.89152920093,NA,NA,90.4853859725486,NA,NA,NA,NA
"87","Cotorra",23300,23,"Córdoba",2003,9997.81953103828,9998.59824015915,NA,NA,92.6725680728197,NA,NA,NA,NA
"88","Soledad",8758,8,"Atlántico",2003,9994.71671742623,9996.14470791728,NA,NA,93.9017413869483,NA,NA,NA,NA
"89","Becerril",20045,20,"Cesar",2003,9999.46607776762,9986.01246331556,NA,NA,94.298599062675,NA,NA,NA,NA
"90","Chigorodó",5172,5,"Antioquia",2003,9999.69325132391,9993.98325621404,NA,NA,93.1595726721767,NA,NA,NA,NA
"91","Toca",15814,15,"Boyacá",2003,9999.46025199134,9998.72268212944,NA,NA,91.4930851840875,NA,NA,NA,NA
"92","Bello",5088,5,"Antioquia",2003,9998.13393451542,9992.64161686445,NA,NA,90.8277752841895,NA,NA,NA,NA
"93","Belmira",5086,5,"Antioquia",2003,9994.71862293756,9995.18621899508,NA,NA,92.1968550531233,NA,NA,NA,NA
"94","Betania",5091,5,"Antioquia",2003,9994.94578561343,9996.0165426125,NA,NA,91.4513410529055,NA,NA,NA,NA
"95","Betulia",5093,5,"Antioquia",2003,9992.95086953909,9998.30549009742,NA,NA,91.3972740276971,NA,NA,NA,NA
"96","Betulia",68092,68,"Santander",2003,9993.33209716062,9996.4415777579,NA,NA,93.3551123466147,NA,NA,NA,NA
"97","Bituima",25095,25,"Cundinamarca",2003,9996.89297992481,9990.80880679485,NA,NA,90.9609019942926,NA,NA,NA,NA
"98","Bochalema",54099,54,"Norte de Santander",2003,9997.20896545592,9986.65108152744,NA,NA,94.6909823829632,NA,NA,NA,NA
"99","Sácama",85315,85,"Casanare",2003,9997.98532737281,9981.95239380951,NA,NA,95.8889669711876,NA,NA,NA,NA
"100","Bosconia",20060,20,"Cesar",2003,9998.46264763077,9987.11890166155,NA,NA,94.3540485945438,NA,NA,NA,NA
"101","Bucaramanga",68001,68,"Santander",2003,9949.63872934365,9996.73828000634,NA,NA,92.5713970025425,NA,NA,NA,NA
"102","Bucarasica",54109,54,"Norte de Santander",2003,9997.91033059322,9985.73642368658,NA,NA,94.2380549957824,NA,NA,NA,NA
"103","Buenaventura",76109,76,"Valle del Cauca",2003,9994.74367866437,9991.38910380392,NA,NA,92.5863798575822,NA,NA,NA,NA
"104","Buenavista",63111,63,"Quindio",2003,9996.42528519489,9995.57546302549,NA,NA,92.982245681382,NA,NA,NA,NA
"105","Buenavista",70110,70,"Sucre",2003,9999.33877918364,9999.18214249548,NA,NA,92.0334643940757,NA,NA,NA,NA
"106","El Carmen de Atrato",27245,27,"Chocó",2003,9997.12387226917,9996.89642408701,NA,NA,89.7491791634655,NA,NA,NA,NA
"107","Bugalagrande",76113,76,"Valle del Cauca",2003,9995.06743468868,9991.70007102348,NA,NA,92.5863798575822,NA,NA,NA,NA
