"","municipality","code","DP","state","year","eb_ntp","eb_nmr","eb_ndvr","eb_npir","eb_nubr","nimr","Litr","nmpr","nmrpr"
"1493","Mogotes",68464,68,"Santander",2004,9998.25741999424,9998.22212366013,NA,NA,92.9892570902908,NA,NA,NA,NA
"1494","Molagavita",68468,68,"Santander",2004,9998.43229813115,9998.29504998323,NA,NA,92.598907120913,NA,NA,NA,NA
"1495","Montebello",5467,5,"Antioquia",2004,9993.71616199815,9993.16115605002,NA,NA,91.7005899385449,NA,NA,NA,NA
"1496","Montenegro",63470,63,"Quindio",2004,9995.13911578186,9994.81876775632,NA,NA,91.4463857692255,NA,NA,NA,NA
"1497","Monterrey",85162,85,"Casanare",2004,9999.17122563101,9987.16765321862,NA,NA,95.0923441543869,NA,NA,NA,NA
"1498","Morales",19473,19,"Cauca",2004,9999.02874978472,9997.63252965428,NA,NA,92.7213853023834,NA,NA,NA,NA
"1499","Morroa",70473,70,"Sucre",2004,9999.5998730861,9995.62850418094,NA,NA,92.3007199715582,NA,NA,NA,NA
"1500","Mosquera",25473,25,"Cundinamarca",2004,9992.22948278983,9999.35251969817,NA,NA,89.1949731647126,NA,NA,NA,NA
"1501","Murillo",73461,73,"Tolima",2004,9994.89194381131,9996.95420571939,NA,NA,92.1716274773321,NA,NA,NA,NA
"1502","Mutiscua",54480,54,"Norte de Santander",2004,9997.81261686098,9995.9029758501,NA,NA,94.6679579021972,NA,NA,NA,NA
"1503","Natagaima",73483,73,"Tolima",2004,9998.72559728366,9995.99769506295,NA,NA,95.587475015173,NA,NA,NA,NA
"1504","Neira",17486,17,"Caldas",2004,9997.27241941628,9993.25842600231,NA,NA,93.608963738059,NA,NA,NA,NA
"1505","Neiva",41001,41,"Huila",2004,9965.46566983548,9997.258936027,NA,NA,94.5214746348071,NA,NA,NA,NA
"1506","Nilo",25488,25,"Cundinamarca",2004,9996.34137910918,9998.91579399464,NA,NA,92.5072940440337,NA,NA,NA,NA
"1507","Nimaima",25489,25,"Cundinamarca",2004,9996.25077278746,9997.6856882914,NA,NA,91.5178328078655,NA,NA,NA,NA
"1508","Nocaima",25491,25,"Cundinamarca",2004,9995.11664150776,9997.99423362732,NA,NA,90.2430348916019,NA,NA,NA,NA
"1509","Norcasia",17495,17,"Caldas",2004,9998.95734107014,9987.89721840171,NA,NA,94.1415665102875,NA,NA,NA,NA
"1510","Útica",25851,25,"Cundinamarca",2004,9995.98206048562,9998.2754541355,NA,NA,92.1213426117518,NA,NA,NA,NA
"1511","Turbaco",13836,13,"Bolívar",2004,9997.77441868052,9997.209126035,NA,NA,92.8681340685966,NA,NA,NA,NA
"1512","Obando",76497,76,"Valle del Cauca",2004,9996.21643152069,9990.00975247212,NA,NA,92.2487555207372,NA,NA,NA,NA
"1513","Ocamonte",68498,68,"Santander",2004,9998.18372397274,9997.35429448818,NA,NA,93.6530303710874,NA,NA,NA,NA
"1514","Oiba",68500,68,"Santander",2004,9998.24911050613,9997.66619219054,NA,NA,93.0934660701778,NA,NA,NA,NA
"1515","Olaya",5501,5,"Antioquia",2004,9997.10770816119,9995.74299685092,NA,NA,92.3275290557937,NA,NA,NA,NA
"1516","Arjona",13052,13,"Bolívar",2004,9999.13689596193,9998.22270039486,NA,NA,93.1074953043482,NA,NA,NA,NA
"1517","Onzaga",68502,68,"Santander",2004,9998.41104043384,9995.217540071,NA,NA,93.4318422305407,NA,NA,NA,NA
"1518","Oporapa",41503,41,"Huila",2004,9996.12770967992,9996.71234231833,NA,NA,95.3449461214311,NA,NA,NA,NA
"1519","Orito",86320,86,"Putumayo",2004,9999.71348669119,9992.43621575569,NA,NA,94.2697830876521,NA,NA,NA,NA
"1520","Ortega",73504,73,"Tolima",2004,9999.11814559948,9996.49318738956,NA,NA,96.6815984892953,NA,NA,NA,NA
"1521","Ovejas",70508,70,"Sucre",2004,9998.03376286812,9992.81793215879,NA,NA,93.1004814040542,NA,NA,NA,NA
"1522","Pacho",25513,25,"Cundinamarca",2004,9995.68184886158,9997.00731763505,NA,NA,92.0251765801449,NA,NA,NA,NA
"1523","Padilla",19513,19,"Cauca",2004,9996.43697659475,9995.81962970608,NA,NA,93.7174777590658,NA,NA,NA,NA
"1524","Paicol",41518,41,"Huila",2004,9974.62546376278,9996.94394597117,NA,NA,95.1309541884222,NA,NA,NA,NA
"1525","Pailitas",20517,20,"Cesar",2004,9999.29894824976,9988.75363691199,NA,NA,95.1682424111927,NA,NA,NA,NA
"1526","Paime",25518,25,"Cundinamarca",2004,9997.66344311016,9995.16030400465,NA,NA,91.1164628415208,NA,NA,NA,NA
"1527","Palermo",41524,41,"Huila",2004,9984.63008557306,9995.24527584248,NA,NA,95.5421427347281,NA,NA,NA,NA
"1528","Palestina",17524,17,"Caldas",2004,9999.0468048318,9988.94858218536,NA,NA,94.2127481848085,NA,NA,NA,NA
"1529","Palestina",41530,41,"Huila",2004,9997.79806348417,9992.71138697313,NA,NA,95.2115110673315,NA,NA,NA,NA
"1530","El Doncello",18247,18,"Caquetá",2004,9998.85083840599,9993.55048881639,NA,NA,93.9904861223944,NA,NA,NA,NA
"1531","Paipa",15516,15,"Boyacá",2004,9997.80464936988,9998.1210970441,NA,NA,92.0170491165855,NA,NA,NA,NA
"1532","Calamar",13140,13,"Bolívar",2004,9999.42009907766,9998.24564357221,NA,NA,93.3199036862851,NA,NA,NA,NA
"1533","Paya",15533,15,"Boyacá",2004,9998.81257396911,9998.83484945803,NA,NA,92.2146441712765,NA,NA,NA,NA
"1534","Popayán",19001,19,"Cauca",2004,9986.45996430173,9996.63793013923,NA,NA,92.1748243247123,NA,NA,NA,NA
"1535","Andalucía",76036,76,"Valle del Cauca",2004,9996.89446132375,9988.13932684375,NA,NA,92.2946990229209,NA,NA,NA,NA
"1536","Támara",85400,85,"Casanare",2004,9997.87437677223,9993.41698183303,NA,NA,95.1467320849643,NA,NA,NA,NA
"1537","Susacón",15774,15,"Boyacá",2004,9999.01029020195,9997.39572291135,NA,NA,91.7642864343959,NA,NA,NA,NA
"1538","Puerto Escondido",23574,23,"Córdoba",2004,9999.26828306347,9998.46700503843,NA,NA,91.6328208919665,NA,NA,NA,NA
"1539","Totoró",19824,19,"Cauca",2004,9999.736844617,9998.18747609995,NA,NA,95.4976043018757,NA,NA,NA,NA
"1540","Chinácota",54172,54,"Norte de Santander",2004,9998.61679334173,9995.53974417319,NA,NA,94.1587967319675,NA,NA,NA,NA
"1541","Milán",18460,18,"Caquetá",2004,9999.37272289587,9993.92978889335,NA,NA,94.0179757472407,NA,NA,NA,NA
"1542","Puracé",19585,19,"Cauca",2004,9999.08679698284,9997.07535578498,NA,NA,94.1619841758393,NA,NA,NA,NA
"1543","Colón",52203,52,"Nariño",2004,9999.50888419455,9996.05090100825,NA,NA,92.4663280972103,NA,NA,NA,NA
"1544","Tarazá",5790,5,"Antioquia",2004,9998.36881835622,9997.52406791199,NA,NA,92.8329995740035,NA,NA,NA,NA
"1545","Samacá",15646,15,"Boyacá",2004,9999.17824533363,9999.70776808424,NA,NA,91.1188488113148,NA,NA,NA,NA
"1546","Guachené",19300,19,"Cauca",2004,9996.40018002944,9994.60205084186,NA,NA,92.2363343428183,NA,NA,NA,NA
"1547","Tiquisio",13810,13,"Bolívar",2004,9999.3601263561,9998.39961505081,NA,NA,92.5293014111928,NA,NA,NA,NA
"1548","Íquira",41357,41,"Huila",2004,9996.97558152832,9996.6909078787,NA,NA,95.2419788403418,NA,NA,NA,NA
"1549","Gachalá",25293,25,"Cundinamarca",2004,9997.77436033178,9994.65065242315,NA,NA,92.5072940440337,NA,NA,NA,NA
"1550","Anzoátegui",73043,73,"Tolima",2004,9999.3617738334,9994.31878251988,NA,NA,93.7854407234049,NA,NA,NA,NA
"1551","Puerto Nariño",91540,91,"Amazonas",2004,9996.89684168015,9998.80287907582,NA,NA,96.4469720251159,NA,NA,NA,NA
"1552","Roberto Payán",52621,52,"Nariño",2004,9999.68684859939,9998.36153754233,NA,NA,91.9742814478653,NA,NA,NA,NA
"1553","Vélez",68861,68,"Santander",2004,9992.18296167782,9997.33099660364,NA,NA,93.1716117090802,NA,NA,NA,NA
"1554","Otanche",15507,15,"Boyacá",2004,9999.50114245865,9995.60736844879,NA,NA,91.6413510342444,NA,NA,NA,NA
"1555","Galapa",8296,8,"Atlántico",2004,9990.76120801322,9995.54647147221,NA,NA,92.0173857287593,NA,NA,NA,NA
"1556","Zambrano",13894,13,"Bolívar",2004,9998.26563256509,9996.84103883022,NA,NA,93.9795944746372,NA,NA,NA,NA
"1557","Apartadó",5045,5,"Antioquia",2004,9999.86770602169,9996.34263913543,NA,NA,92.8762810756568,NA,NA,NA,NA
"1558","Alcalá",76020,76,"Valle del Cauca",2004,9997.21548031234,9989.64814912438,NA,NA,92.1632226048585,NA,NA,NA,NA
"1559","Quibdó",27001,27,"Chocó",2004,9989.27425714457,9994.81095403966,NA,NA,92.5425314699517,NA,NA,NA,NA
"1560","Leiva",52405,52,"Nariño",2004,9999.57911725589,9995.97515158154,NA,NA,94.8161832557588,NA,NA,NA,NA
"1561","Málaga",68432,68,"Santander",2004,9997.923717699,9998.75366578685,NA,NA,92.5171616428822,NA,NA,NA,NA
"1562","La Uvita",15403,15,"Boyacá",2004,9999.00999714658,9999.05163214169,NA,NA,91.8250352512209,NA,NA,NA,NA
"1563","Jordán",68370,68,"Santander",2004,9994.25006647914,9997.33531144728,NA,NA,93.3904092054588,NA,NA,NA,NA
"1564","Barranco de Loba",13074,13,"Bolívar",2004,9999.23289789345,9998.52087356478,NA,NA,93.510371451833,NA,NA,NA,NA
"1565","Muzo",15480,15,"Boyacá",2004,9999.49859887439,9998.75381216101,NA,NA,93.4650344976615,NA,NA,NA,NA
"1566","Topaipí",25823,25,"Cundinamarca",2004,9995.95910306632,9996.93640640291,NA,NA,90.1162828719157,NA,NA,NA,NA
"1567","Hacarí",54344,54,"Norte de Santander",2004,9998.916712911,9994.66513362715,NA,NA,94.3789841714023,NA,NA,NA,NA
"1568","Puerto Guzmán",86571,86,"Putumayo",2004,9999.89110688652,9992.33661017284,NA,NA,95.2735653148636,NA,NA,NA,NA
"1569","Ramiriquí",15599,15,"Boyacá",2004,9999.51734565321,9999.56423091139,NA,NA,92.9234916636864,NA,NA,NA,NA
"1570","Socha",15757,15,"Boyacá",2004,9999.36966148068,9999.42120458597,NA,NA,89.5091897640698,NA,NA,NA,NA
"1571","Palmar",68522,68,"Santander",2004,9994.11749842329,9997.77489272129,NA,NA,93.2452442354302,NA,NA,NA,NA
"1572","El Litoral San Juan",27250,27,"Chocó",2004,9999.56475031813,9999.50224904693,NA,NA,92.081082109786,NA,NA,NA,NA
"1573","Ubalá",25839,25,"Cundinamarca",2004,9996.59416295314,9997.92547890514,NA,NA,93.4085141267479,NA,NA,NA,NA
"1574","Palmira",76520,76,"Valle del Cauca",2004,9996.40068654743,9992.82484543678,NA,NA,92.5251653713523,NA,NA,NA,NA
"1575","Palmito",70523,70,"Sucre",2004,9999.55038765142,9999.31096224738,NA,NA,92.8126980008859,NA,NA,NA,NA
"1576","Palocabildo",73520,73,"Tolima",2004,9993.34369335668,9996.24309000222,NA,NA,94.7064334704164,NA,NA,NA,NA
"1577","Pamplona",54518,54,"Norte de Santander",2004,9998.84696177527,9996.99881402004,NA,NA,92.7810703430469,NA,NA,NA,NA
"1578","Pamplonita",54520,54,"Norte de Santander",2004,9998.08392917462,9997.92500835093,NA,NA,94.2850557429784,NA,NA,NA,NA
"1579","Tuluá",76834,76,"Valle del Cauca",2004,9992.68313088018,9987.45455183069,NA,NA,92.6674359014416,NA,NA,NA,NA
"1580","Pandi",25524,25,"Cundinamarca",2004,9996.26751569896,9994.47521000935,NA,NA,90.3665770568333,NA,NA,NA,NA
"1581","Paratebueno",25530,25,"Cundinamarca",2004,9997.03888350398,9997.3727549365,NA,NA,93.3700274140676,NA,NA,NA,NA
"1582","Pasca",25535,25,"Cundinamarca",2004,9997.09852697077,9998.29909029047,NA,NA,91.0740804975228,NA,NA,NA,NA
"1583","Bogotá D.C.",11001,11,"Bogotá d C.",2004,9991.81323665834,9997.66707687108,NA,NA,88.1315375073678,NA,NA,NA,NA
"1584","Suratá",68780,68,"Santander",2004,9997.63188390804,9994.29426325199,NA,NA,93.6628126554362,NA,NA,NA,NA
"1585","Pedraza",47541,47,"Magdalena",2004,9999.41569613695,9998.2162261931,NA,NA,94.088009557866,NA,NA,NA,NA
"1586","Pelaya",20550,20,"Cesar",2004,9997.78172152026,9990.41047998669,NA,NA,92.7871689713417,NA,NA,NA,NA
"1587","Pensilvania",17541,17,"Caldas",2004,9999.336930988,9993.8811937681,NA,NA,94.6682944054299,NA,NA,NA,NA
"1588","Peque",5543,5,"Antioquia",2004,9998.62578264602,9994.84447442377,NA,NA,91.7595371124249,NA,NA,NA,NA
"1589","Pereira",66001,66,"Risaralda",2004,9972.49432550675,9990.03437785976,NA,NA,93.2719600222774,NA,NA,NA,NA
"1590","Piamonte",19533,19,"Cauca",2004,9999.41735939658,9998.30092608098,NA,NA,93.5764620321458,NA,NA,NA,NA
"1591","Piedecuesta",68547,68,"Santander",2004,9986.44252360429,9998.83008003927,NA,NA,94.1121737458664,NA,NA,NA,NA
"1592","Piedras",73547,73,"Tolima",2004,9998.28705781871,9997.00858119113,NA,NA,94.5682335646467,NA,NA,NA,NA
"1593","Pijao",63548,63,"Quindio",2004,9993.02636180792,9992.24392880588,NA,NA,93.4038659953559,NA,NA,NA,NA
"1594","Peñol",5541,5,"Antioquia",2004,9993.92747190238,9997.57119826894,NA,NA,91.4177160843892,NA,NA,NA,NA
"1595","Pinchote",68549,68,"Santander",2004,9997.94956760101,9997.20811811725,NA,NA,93.2971135916609,NA,NA,NA,NA
"1596","Pital",41548,41,"Huila",2004,9995.28955079188,9995.44680726683,NA,NA,95.8255211873147,NA,NA,NA,NA
"1597","Pitalito",41551,41,"Huila",2004,9992.13527373788,9993.71579432694,NA,NA,95.3873615923603,NA,NA,NA,NA
"1598","Pivijay",47551,47,"Magdalena",2004,9999.51469428827,9998.46675956409,NA,NA,94.979578531303,NA,NA,NA,NA
"1599","Planadas",73555,73,"Tolima",2004,9999.63937801379,9996.80840130096,NA,NA,93.8516322725803,NA,NA,NA,NA
"1600","Purificación",73585,73,"Tolima",2004,9998.92032259818,9997.41892686213,NA,NA,94.1962929282949,NA,NA,NA,NA
"1601","Plato",47555,47,"Magdalena",2004,9999.71941618852,9993.94426240676,NA,NA,92.8393639500236,NA,NA,NA,NA
"1602","Pore",85263,85,"Casanare",2004,9998.85811962308,9984.41948526287,NA,NA,95.0653792852369,NA,NA,NA,NA
"1603","Pradera",76563,76,"Valle del Cauca",2004,9997.52946446526,9994.14783598526,NA,NA,92.3595492407737,NA,NA,NA,NA
"1604","Prado",73563,73,"Tolima",2004,9996.86065072706,9996.10374355936,NA,NA,94.505921176414,NA,NA,NA,NA
"1605","Contratación",68211,68,"Santander",2004,9997.82581660295,9998.02180534916,NA,NA,93.5411333272028,NA,NA,NA,NA
"1606","Río Quito",27600,27,"Chocó",2004,9999.37316408572,9999.29994457414,NA,NA,90.939565138137,NA,NA,NA,NA
"1607","Piojó",8549,8,"Atlántico",2004,9990.87791873958,9996.38632966784,NA,NA,92.9556033408752,NA,NA,NA,NA
"1608","Pueblorrico",5576,5,"Antioquia",2004,9994.13917479733,9997.65019285138,NA,NA,93.5257604667595,NA,NA,NA,NA
"1609","Puebloviejo",47570,47,"Magdalena",2004,9999.59401506283,9999.2106684054,NA,NA,93.1189103792941,NA,NA,NA,NA
"1610","Tunja",15001,15,"Boyacá",2004,9991.09710676272,9998.32632291234,NA,NA,89.474993255278,NA,NA,NA,NA
"1611","Vigía del Fuerte",5873,5,"Antioquia",2004,9997.99065443538,9997.98813803619,NA,NA,91.1590421500456,NA,NA,NA,NA
"1612","Guachetá",25317,25,"Cundinamarca",2004,9998.69393516377,9998.80161803866,NA,NA,91.3031978045402,NA,NA,NA,NA
"1613","San Vicente de Chucurí",68689,68,"Santander",2004,9995.84632961183,9995.73097349945,NA,NA,94.2177627542539,NA,NA,NA,NA
"1614","Zipaquirá",25899,25,"Cundinamarca",2004,9989.46208784536,9998.48439881109,NA,NA,90.1000305957044,NA,NA,NA,NA
"1615","Togüí",15816,15,"Boyacá",2004,9996.75081868581,9999.23624849271,NA,NA,93.4309712705104,NA,NA,NA,NA
"1616","Santa Bárbara",52696,52,"Nariño",2004,9999.67091825051,9997.69649632915,NA,NA,92.514257270913,NA,NA,NA,NA
"1617","Ipiales",52356,52,"Nariño",2004,9996.99885164751,9997.68973254223,NA,NA,92.2268075595957,NA,NA,NA,NA
"1618","Cumbal",52227,52,"Nariño",2004,9999.82115589276,9997.5776423307,NA,NA,93.0143017133113,NA,NA,NA,NA
"1619","Mahates",13433,13,"Bolívar",2004,9997.86878753253,9997.88153230234,NA,NA,93.505350337501,NA,NA,NA,NA
"1620","Pijiño del Carmen",47545,47,"Magdalena",2004,9999.26393942471,9997.71454191854,NA,NA,94.8416066807924,NA,NA,NA,NA
"1621","Tibasosa",15806,15,"Boyacá",2004,9999.56619216761,9999.61048890724,NA,NA,90.4909699454251,NA,NA,NA,NA
"1622","Guataquí",25324,25,"Cundinamarca",2004,9986.95669691247,9997.14424983351,NA,NA,91.3223284670592,NA,NA,NA,NA
"1623","Repelón",8606,8,"Atlántico",2004,9997.63261986284,9997.27397332341,NA,NA,93.3400200181453,NA,NA,NA,NA
"1624","Caldas",15131,15,"Boyacá",2004,9996.23142112673,9997.52874385726,NA,NA,91.4512747041224,NA,NA,NA,NA
"1625","Río Viejo",13600,13,"Bolívar",2004,9999.43387744911,9998.73112647693,NA,NA,90.04478465147,NA,NA,NA,NA
"1626","Chiriguaná",20178,20,"Cesar",2004,9998.30242876828,9992.39931824203,NA,NA,94.0260027191735,NA,NA,NA,NA
"1627","Pasto",52001,52,"Nariño",2004,9991.7694797143,9996.88527976147,NA,NA,91.4422946225336,NA,NA,NA,NA
"1628","Güicán",15332,15,"Boyacá",2004,9999.38906905427,9999.44027735816,NA,NA,89.7882489173716,NA,NA,NA,NA
"1629","Simití",13744,13,"Bolívar",2004,9999.35910665623,9998.64538306941,NA,NA,93.5854911331325,NA,NA,NA,NA
"1630","Tutazá",15839,15,"Boyacá",2004,9998.73027701117,9998.7413367993,NA,NA,91.6525816941091,NA,NA,NA,NA
"1631","Abriaquí",5004,5,"Antioquia",2004,9997.02779719628,9995.640377566,NA,NA,90.3049716819107,NA,NA,NA,NA
"1632","Yacuanquer",52885,52,"Nariño",2004,9999.51965497491,9996.83932250636,NA,NA,92.2982398726814,NA,NA,NA,NA
"1633","San Luis de Sincé",70742,70,"Sucre",2004,9999.5095784862,9997.04135023651,NA,NA,91.9057809955138,NA,NA,NA,NA
"1634","San Mateo",15673,15,"Boyacá",2004,9999.15403086548,9997.81177907781,NA,NA,91.9912457523208,NA,NA,NA,NA
"1635","Murindó",5475,5,"Antioquia",2004,9997.43142246895,9997.49099391828,NA,NA,91.3198037224409,NA,NA,NA,NA
"1636","Zapayán",47960,47,"Magdalena",2004,9999.42475070666,9998.2932821128,NA,NA,92.0685330460066,NA,NA,NA,NA
"1637","Motavita",15476,15,"Boyacá",2004,9999.3045654135,9998.23260815613,NA,NA,90.8348634035745,NA,NA,NA,NA
"1638","Tipacoque",15810,15,"Boyacá",2004,9999.02981897348,9999.07283044202,NA,NA,91.4314226347278,NA,NA,NA,NA
"1639","La Florida",52381,52,"Nariño",2004,9999.58497180554,9997.05091405982,NA,NA,92.2839710901107,NA,NA,NA,NA
"1640","Clemencia",13222,13,"Bolívar",2004,9998.33761453299,9996.89539578325,NA,NA,92.4203764607416,NA,NA,NA,NA
"1641","Quebradanegra",25592,25,"Cundinamarca",2004,9997.34960869764,9998.24852671196,NA,NA,90.4675431565516,NA,NA,NA,NA
"1642","Quetame",25594,25,"Cundinamarca",2004,9995.54752984618,9998.43917012096,NA,NA,90.3136284387932,NA,NA,NA,NA
"1643","Quimbaya",63594,63,"Quindio",2004,9998.73849259379,9991.34625852343,NA,NA,94.368072447792,NA,NA,NA,NA
"1644","Quipile",25596,25,"Cundinamarca",2004,9996.31466531044,9995.32026004541,NA,NA,91.9042048675606,NA,NA,NA,NA
"1645","Ragonvalia",54599,54,"Norte de Santander",2004,9998.51656231968,9997.25325647447,NA,NA,94.2988722043922,NA,NA,NA,NA
"1646","Recetor",85279,85,"Casanare",2004,9997.88702919671,9989.73243420535,NA,NA,95.2298055385705,NA,NA,NA,NA
"1647","Remedios",5604,5,"Antioquia",2004,9996.93967404265,9984.31773248202,NA,NA,93.154715738086,NA,NA,NA,NA
"1648","Remolino",47605,47,"Magdalena",2004,9999.16573599447,9997.597326849,NA,NA,93.5672079259945,NA,NA,NA,NA
"1649","Restrepo",50606,50,"Meta",2004,9998.0331049577,9987.51286630824,NA,NA,95.0276438493237,NA,NA,NA,NA
"1650","Restrepo",76606,76,"Valle del Cauca",2004,9999.06263523744,9993.46400872783,NA,NA,92.1975657308543,NA,NA,NA,NA
"1651","Retiro",5607,5,"Antioquia",2004,9999.12960369976,9993.74743492974,NA,NA,90.1611151043951,NA,NA,NA,NA
"1652","Ricaurte",25612,25,"Cundinamarca",2004,9993.21444945695,9997.46627331147,NA,NA,93.152991567746,NA,NA,NA,NA
"1653","Mirití Paraná",91460,91,"Amazonas",2004,9995.84920961336,9998.80287907582,NA,NA,94.5897688260253,NA,NA,NA,NA
"1654","Unión Panamericana",27810,27,"Chocó",2004,9999.39058701906,9999.31794959364,NA,NA,93.3774815373379,NA,NA,NA,NA
"1655","San Eduardo",15660,15,"Boyacá",2004,9998.63627950194,9998.6321580697,NA,NA,92.4416033058881,NA,NA,NA,NA
"1656","El Tambo",52260,52,"Nariño",2004,9999.65027365718,9997.61917605294,NA,NA,93.4713272969847,NA,NA,NA,NA
"1657","Rioblanco",73616,73,"Tolima",2004,9998.47446673472,9996.52147308481,NA,NA,94.5984042796517,NA,NA,NA,NA
"1658","Riohacha",44001,44,"La Guajira",2004,9997.08224566339,9993.76922109338,NA,NA,93.3363188216758,NA,NA,NA,NA
"1659","Rionegro",5615,5,"Antioquia",2004,9996.18716949162,9996.59246344302,NA,NA,90.8923858653536,NA,NA,NA,NA
"1660","Rionegro",68615,68,"Santander",2004,9997.36071314318,9993.45150701477,NA,NA,93.1486276858154,NA,NA,NA,NA
"1661","Riosucio",17614,17,"Caldas",2004,9999.30252209621,9993.16941210768,NA,NA,94.4160416565617,NA,NA,NA,NA
"1662","Risaralda",17616,17,"Caldas",2004,9999.30608938419,9985.95570165647,NA,NA,93.3550983312223,NA,NA,NA,NA
"1663","Rivera",41615,41,"Huila",2004,9983.06152832919,9996.22985099249,NA,NA,95.6944457390233,NA,NA,NA,NA
"1664","Coveñas",70221,70,"Sucre",2004,9999.55095724187,9996.545007632,NA,NA,92.7301163882623,NA,NA,NA,NA
"1665","Roldanillo",76622,76,"Valle del Cauca",2004,9997.45136381869,9977.87030625372,NA,NA,92.1376261024662,NA,NA,NA,NA
"1666","Roncesvalles",73622,73,"Tolima",2004,9998.50396635004,9995.58497836781,NA,NA,94.2917411274686,NA,NA,NA,NA
"1667","Rosas",19622,19,"Cauca",2004,9999.65161827716,9996.73098003044,NA,NA,93.1804565873475,NA,NA,NA,NA
"1668","Rovira",73624,73,"Tolima",2004,9996.88881203811,9994.67233519694,NA,NA,93.8731736911064,NA,NA,NA,NA
"1669","Amagá",5030,5,"Antioquia",2004,9998.08687320275,9995.15675448038,NA,NA,90.8782259519953,NA,NA,NA,NA
"1670","Sabanalarga",5628,5,"Antioquia",2004,9984.21979889894,9995.94775398695,NA,NA,89.7054084318255,NA,NA,NA,NA
"1671","Sabanalarga",85300,85,"Casanare",2004,9998.17068227069,9979.05721062767,NA,NA,95.1740030078887,NA,NA,NA,NA
"1672","Garzón",41298,41,"Huila",2004,9988.78017935317,9995.88447632459,NA,NA,95.1828356497386,NA,NA,NA,NA
"1673","Sabaneta",5631,5,"Antioquia",2004,9996.62700304837,9997.07227224229,NA,NA,90.9028819890009,NA,NA,NA,NA
"1674","Saladoblanco",41660,41,"Huila",2004,9996.88653422758,9995.31552818138,NA,NA,95.7971560193799,NA,NA,NA,NA
"1675","Salamina",17653,17,"Caldas",2004,9999.62659815123,9993.33117993199,NA,NA,93.2947619294839,NA,NA,NA,NA
"1676","Salamina",47675,47,"Magdalena",2004,9999.42338070011,9997.54108029656,NA,NA,94.361292396485,NA,NA,NA,NA
"1677","Salazar",54660,54,"Norte de Santander",2004,9998.86790843656,9997.0418782894,NA,NA,94.477004331674,NA,NA,NA,NA
"1678","Salento",63690,63,"Quindio",2004,9995.37035788945,9994.52948424733,NA,NA,94.2236571618723,NA,NA,NA,NA
"1679","Salgar",5642,5,"Antioquia",2004,9998.72147739576,9993.72190983812,NA,NA,90.991477179788,NA,NA,NA,NA
"1680","San Antero",23672,23,"Córdoba",2004,9998.72806283991,9998.65691132735,NA,NA,92.6527619094441,NA,NA,NA,NA
"1681","Medio Atrato",27425,27,"Chocó",2004,9999.27617340426,9997.49054610905,NA,NA,92.1651549685087,NA,NA,NA,NA
"1682","Distracción",44098,44,"La Guajira",2004,9999.58744891725,9997.28289582205,NA,NA,94.8581884498595,NA,NA,NA,NA
"1683","San Estanislao",13647,13,"Bolívar",2004,9999.24515799296,9997.72874402454,NA,NA,92.9796910089383,NA,NA,NA,NA
"1684","Caparrapí",25148,25,"Cundinamarca",2004,9998.50145010259,9997.51896638831,NA,NA,91.8800614602239,NA,NA,NA,NA
"1685","Purísima de la Concepción",23586,23,"Córdoba",2004,9999.53538667114,9998.46901920255,NA,NA,94.4354190691893,NA,NA,NA,NA
"1686","Istmina",27361,27,"Chocó",2004,9996.57893899864,9995.86236931348,NA,NA,89.9856000504164,NA,NA,NA,NA
"1687","Contadero",52210,52,"Nariño",2004,9999.34801543282,9997.25933249037,NA,NA,92.030330578211,NA,NA,NA,NA
"1688","Macanal",15425,15,"Boyacá",2004,9999.12640078622,9991.9657537056,NA,NA,93.0185053841708,NA,NA,NA,NA
"1689","Jerusalén",25368,25,"Cundinamarca",2004,9987.67687963155,9997.9808900283,NA,NA,91.8210090949438,NA,NA,NA,NA
"1690","Quinchía",66594,66,"Risaralda",2004,9999.35915850219,9987.34229158819,NA,NA,93.7815514823897,NA,NA,NA,NA
"1691","Cucunubá",25224,25,"Cundinamarca",2004,9995.79323728186,9997.89919148841,NA,NA,89.3747888013816,NA,NA,NA,NA
"1692","Fúquene",25288,25,"Cundinamarca",2004,9993.31590822231,9998.30412279734,NA,NA,90.594297767199,NA,NA,NA,NA
"1693","Sativasur",15723,15,"Boyacá",2004,9998.46715950231,9998.4290745309,NA,NA,91.441957877806,NA,NA,NA,NA
"1694","Fómeque",25279,25,"Cundinamarca",2004,9998.7620768879,9998.39416325434,NA,NA,90.9571587034248,NA,NA,NA,NA
"1695","Imués",52354,52,"Nariño",2004,9997.40415302857,9997.3699104768,NA,NA,92.2502607173616,NA,NA,NA,NA
"1696","San Joaquín",68682,68,"Santander",2004,9997.18610941572,9997.81612767252,NA,NA,93.4114370798681,NA,NA,NA,NA
"1697","Ocaña",54498,54,"Norte de Santander",2004,9998.98422497026,9995.36954929898,NA,NA,93.4493468581963,NA,NA,NA,NA
"1698","Puerto Asís",86568,86,"Putumayo",2004,9999.95448959895,9987.15910434704,NA,NA,93.3288699113183,NA,NA,NA,NA
"1699","Guacarí",76318,76,"Valle del Cauca",2004,9997.77396864313,9990.46347503472,NA,NA,92.0159335539292,NA,NA,NA,NA
"1700","San Miguel de Sema",15676,15,"Boyacá",2004,9999.11880269153,9999.16676431491,NA,NA,91.0389023346983,NA,NA,NA,NA
