POLY_ID,DPTO_CC,DPTO_CN,MPIO_CCD,MPIO_CCN,MPIO_CN,MPIO_CR,MPIO_NAN,MPIO_NAR,NMr2022,Shap_Ar,Shp_Lng,above03,above18,above22,below03,below18,below22,e__2003,e__2018,JC18,NN18,PP_VAL18,JC22,NN22,PP_VAL22
1,05,ANTIOQUIA,001,    5001.000000000000000,MEDELLÍN,1965,2018,     374.830624769000000,    9997.883126508000700,       0.030607373390000,       1.032922255780000,       0.000000000000000,       0.000000000000000,       1.000000000000000,       1.000000000000000,       1.000000000000000,       0.000000000000000,    9991.027355097630800,    9997.507800115050500,3,11,       0.237000000000000,0,11,
2,05,ANTIOQUIA,002,    5002.000000000000000,ABEJORRAL,1814,2018,     507.134114200000000,    9997.415832659109600,       0.041383326550000,       1.158405293020000,       0.000000000000000,       0.000000000000000,       0.000000000000000,       1.000000000000000,       1.000000000000000,       1.000000000000000,    9984.924831868540400,    9997.070219993860500,4,7,       0.177000000000000,4,7,       0.151000000000000
3,05,ANTIOQUIA,004,    5004.000000000000000,ABRIAQUÍ,1912,2018,     296.955980067999970,    9997.837599556580200,       0.024253314560000,       0.810666961980000,       0.000000000000000,       1.000000000000000,       1.000000000000000,       1.000000000000000,       0.000000000000000,       0.000000000000000,    9985.297339784510800,    9998.293581154319300,0,6,,0,6,
4,05,ANTIOQUIA,021,    5021.000000000000000,ALEJANDRÍA,Decreto departamental 304 de 1907,2018,     128.932153153999990,    9999.130620492240300,       0.010534526580000,       0.705199540910000,       0.000000000000000,       1.000000000000000,       1.000000000000000,       1.000000000000000,       0.000000000000000,       0.000000000000000,    9986.239999999999800,    9998.809999999999500,0,5,,0,5,
5,05,ANTIOQUIA,030,    5030.000000000000000,AMAGÁ,1912,2018,      84.132476910799994,    9995.971745902939800,       0.006866507050000,       0.445533013180000,       0.000000000000000,       1.000000000000000,       0.000000000000000,       1.000000000000000,       0.000000000000000,       1.000000000000000,    9990.041458566700400,    9998.016364409559200,0,5,,5,5,       0.002000000000000
6,05,ANTIOQUIA,031,    5031.000000000000000,AMALFI,1843,2018,    1209.126871450000000,    9993.510383212249500,       0.098919601510000,       2.019527994440000,       0.000000000000000,       0.000000000000000,       0.000000000000000,       1.000000000000000,       1.000000000000000,       1.000000000000000,    9989.919006260130100,    9996.061635750260400,7,8,       0.006000000000000,7,8,       0.001000000000000
7,05,ANTIOQUIA,034,    5034.000000000000000,ANDES,1853,2018,     402.502562407000030,    9990.198153315990600,       0.032819564480000,       1.146285450030000,       0.000000000000000,       0.000000000000000,       0.000000000000000,       1.000000000000000,       1.000000000000000,       1.000000000000000,    9990.322449142790000,    9989.050839821900800,6,7,       0.007000000000000,7,7,       0.002000000000000
8,05,ANTIOQUIA,036,    5036.000000000000000,ANGELÓPOLIS,Ordenanza 16 del 12 de julio de 1896,2018,      81.876301624600003,    9995.528281227540000,       0.006683387360000,       0.427495594490000,       0.000000000000000,       0.000000000000000,       0.000000000000000,       1.000000000000000,       1.000000000000000,       1.000000000000000,    9991.896385863650700,    9994.580967900770700,5,7,       0.049000000000000,5,7,       0.029000000000000
9,05,ANTIOQUIA,038,    5038.000000000000000,ANGOSTURA,1821,2018,     338.666482074999980,    9996.473385184959600,       0.027692988900000,       0.919161838350000,       0.000000000000000,       0.000000000000000,       0.000000000000000,       1.000000000000000,       1.000000000000000,       1.000000000000000,    9990.799829860650800,    9997.004957598039300,3,5,       0.218000000000000,4,5,       0.039000000000000
10,05,ANTIOQUIA,040,    5040.000000000000000,ANORÍ,1821,2018,    1413.773904260000100,    9982.869636433220900,       0.115705888480000,       1.848260867340000,       0.000000000000000,       0.000000000000000,       0.000000000000000,       1.000000000000000,       1.000000000000000,       1.000000000000000,    9990.681448364859500,    9984.194133262259100,7,8,       0.003000000000000,8,8,       0.001000000000000
11,05,ANTIOQUIA,042,    5042.000000000000000,SANTA FÉ DE ANTIOQUIA,1541,2018,     525.601374545000000,    9996.210028649849800,       0.042928782560000,       1.121683650880000,       0.000000000000000,       0.000000000000000,       0.000000000000000,       1.000000000000000,       1.000000000000000,       1.000000000000000,    9991.641418455079500,    9996.527426692890000,6,9,       0.050000000000000,8,9,       0.003000000000000
12,05,ANTIOQUIA,044,    5044.000000000000000,ANZÁ,1813,2018,     255.923313897000010,    9995.519168839660800,       0.020893371110000,       0.746835166830000,       0.000000000000000,       0.000000000000000,       0.000000000000000,       1.000000000000000,       1.000000000000000,       1.000000000000000,    9994.817398066690700,    9995.488881823110200,5,6,       0.019000000000000,6,6,       0.003000000000000
13,05,ANTIOQUIA,045,    5045.000000000000000,APARTADÓ,Ordenanza 7 de Noviembre 30 de 1967,2018,     535.172377239999950,    9995.638751460679500,       0.043801113220000,       1.287652308740000,       0.000000000000000,       0.000000000000000,       0.000000000000000,       1.000000000000000,       1.000000000000000,       1.000000000000000,    9995.833048065920600,    9995.602202591670000,3,4,       0.120000000000000,4,4,       0.010000000000000
14,05,ANTIOQUIA,051,    5051.000000000000000,ARBOLETES,Decreto departamental 340 del 30 de Agosto  de 1958,2018,     754.251901974000020,    9998.273760763180700,       0.061854776110000,       1.858453428790000,       1.000000000000000,       1.000000000000000,       1.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,    9998.971211069940200,    9999.049205696599500,0,7,,0,7,
