"","method","MAE","RMSE"
"1","ETS",1.71159417938454,3.33537546466054
"2","Beta",1.65813730007073,2.48763431027859
"3","Beta",1.65813730007073,2.48763431027859
"4","Beta Spatial",1.54826497268953,2.35282680148337
"5","STAR",2.37819812127288,2.89454800943053
